Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),hour,day,month,weekday,is_outlier
2025-04-08 16:00:00,Kosovo,Kosovo,XK,314.72,348.72,57.46,56.61,16,8,4,1,True
2025-04-08 17:00:00,Kosovo,Kosovo,XK,309.77,342.76,58.13,57.47,17,8,4,1,True
2025-04-08 18:00:00,Kosovo,Kosovo,XK,309.91,342.57,58.3,57.73,18,8,4,1,True
2025-04-08 22:00:00,Kosovo,Kosovo,XK,307.76,343.03,57.97,55.05,22,8,4,1,True
2025-04-09 03:00:00,Kosovo,Kosovo,XK,269.62,301.75,63.29,61.18,3,9,4,2,True
2025-04-09 04:00:00,Kosovo,Kosovo,XK,208.86,237.09,70.88,70.47,4,9,4,2,True
2025-04-09 05:00:00,Kosovo,Kosovo,XK,175.48,200.79,75.64,75.51,5,9,4,2,True
2025-04-09 06:00:00,Kosovo,Kosovo,XK,209.25,239.47,70.81,68.8,6,9,4,2,True
2025-04-09 07:00:00,Kosovo,Kosovo,XK,266.94,302.56,63.7,58.74,7,9,4,2,True
2025-04-09 08:00:00,Kosovo,Kosovo,XK,277.75,313.32,62.83,57.36,8,9,4,2,True
2025-04-09 09:00:00,Kosovo,Kosovo,XK,317.66,354.5,58.08,50.95,9,9,4,2,True
2025-04-09 14:00:00,Kosovo,Kosovo,XK,296.0,330.54,60.05,58.08,14,9,4,2,True
2025-04-09 15:00:00,Kosovo,Kosovo,XK,243.43,274.46,66.72,64.88,15,9,4,2,True
2025-04-09 16:00:00,Kosovo,Kosovo,XK,224.75,254.68,68.49,67.22,16,9,4,2,True
2025-04-09 17:00:00,Kosovo,Kosovo,XK,220.2,249.17,69.25,68.06,17,9,4,2,True
2025-04-09 18:00:00,Kosovo,Kosovo,XK,232.91,262.05,67.89,66.3,18,9,4,2,True
2025-04-09 19:00:00,Kosovo,Kosovo,XK,245.14,275.13,66.2,64.63,19,9,4,2,True
2025-04-09 20:00:00,Kosovo,Kosovo,XK,261.25,292.93,64.2,62.12,20,9,4,2,True
2025-04-09 22:00:00,Kosovo,Kosovo,XK,313.64,349.93,57.09,53.47,22,9,4,2,True
2025-04-10 03:00:00,Kosovo,Kosovo,XK,308.22,343.87,57.93,54.95,3,10,4,3,True
2025-04-10 04:00:00,Kosovo,Kosovo,XK,240.8,271.45,66.67,65.55,4,10,4,3,True
2025-04-10 05:00:00,Kosovo,Kosovo,XK,212.68,239.65,71.06,70.78,5,10,4,3,True
2025-04-10 06:00:00,Kosovo,Kosovo,XK,229.04,261.65,67.99,65.15,6,10,4,3,True
2025-04-10 07:00:00,Kosovo,Kosovo,XK,244.79,280.58,66.06,62.35,7,10,4,3,True
2025-04-10 08:00:00,Kosovo,Kosovo,XK,233.02,268.38,67.89,64.6,8,10,4,3,True
2025-04-10 09:00:00,Kosovo,Kosovo,XK,244.65,280.27,66.49,62.65,9,10,4,3,True
